date,open,close,low,high,volume,money,change,label

11/06/2006,12.38,12.76,12.32,12.79,"22,984,900","290,908,000",2.65 %,12.95

11/07/2006,12.80,12.95,12.66,13.02,"25,892,800","333,765,000",1.49 %,13.26

11/08/2006,12.99,13.26,12.85,13.48,"42,858,900","571,101,000",2.39 %,13.44

11/09/2006,13.27,13.44,13.26,13.64,"33,058,000","446,444,000",1.36 %,13.08

11/10/2006,13.50,13.08,13.02,13.55,"22,485,600","297,258,000",-2.68 %,13.19

11/13/2006,13.07,13.19,13.02,13.51,"24,779,500","329,075,000",0.84 %,13.96

11/14/2006,13.18,13.96,13.16,14.05,"50,277,600","688,410,000",5.84 %,14.60

11/15/2006,13.98,14.60,13.98,14.76,"52,375,900","758,472,000",4.58 %,14.41

11/16/2006,14.62,14.41,14.38,14.90,"38,068,800","556,361,000",-1.30 %,14.71

11/17/2006,14.30,14.71,14.28,14.88,"28,557,500","420,037,000",2.08 %,14.85

11/20/2006,14.78,14.85,14.61,15.42,"23,496,500","353,773,000",0.95 %,14.62

11/21/2006,14.85,14.62,14.28,15.09,"24,163,300","352,917,000",-1.55 %,14.79

11/22/2006,14.63,14.79,14.39,15.07,"24,255,500","359,144,000",1.16 %,14.75

11/23/2006,14.79,14.75,14.50,15.09,"15,887,700","235,139,000",-0.27 %,14.63

11/24/2006,14.75,14.63,14.53,14.93,"12,690,700","186,590,000",-0.81 %,15.25

11/27/2006,14.70,15.25,14.60,15.25,"23,680,700","353,470,000",4.24 %,15.13

11/28/2006,15.26,15.13,14.86,15.46,"20,329,400","308,192,000",-0.79 %,16.19

11/29/2006,14.84,16.19,14.68,16.50,"40,138,200","634,265,000",7.01 %,16.62

11/30/2006,16.20,16.62,16.20,17.17,"27,354,900","456,347,000",2.66 %,16.92

12/01/2006,16.80,16.92,16.55,17.40,"24,647,600","418,977,000",1.81 %,17.20

12/04/2006,17.15,17.20,16.98,17.75,"28,683,100","498,082,000",1.65 %,16.95

12/05/2006,17.63,16.95,16.92,17.63,"27,882,500","480,441,000",-1.45 %,16.55

12/06/2006,16.90,16.55,15.70,16.91,"34,607,400","568,110,000",-2.36 %,16.33

12/07/2006,16.36,16.33,16.29,16.80,"18,235,800","301,862,000",-1.33 %,15.75

12/08/2006,16.14,15.75,15.61,16.27,"20,506,200","327,230,000",-3.55 %,17.00

12/11/2006,15.63,17.00,15.63,17.10,"24,139,400","396,070,000",7.94 %,17.00

12/12/2006,17.10,17.00,16.53,17.58,"20,178,500","344,237,000",0.00 %,16.82

12/13/2006,17.00,16.82,16.40,17.15,"11,959,200","201,231,000",-1.06 %,17.92

12/14/2006,16.80,17.92,16.80,18.10,"35,897,700","631,842,000",6.54 %,18.63

12/15/2006,18.00,18.63,17.75,18.70,"26,484,200","484,584,000",3.96 %,20.15

12/18/2006,18.68,20.15,18.63,20.33,"38,937,000","773,532,000",8.16 %,20.20

12/19/2006,20.65,20.20,19.67,20.65,"34,161,100","688,013,000",0.25 %,20.40

12/20/2006,20.29,20.40,19.71,20.90,"18,492,500","376,806,000",0.99 %,20.00

12/21/2006,20.39,20.00,19.90,20.60,"16,277,900","330,352,000",-1.96 %,19.30

12/22/2006,19.82,19.30,19.01,20.00,"19,956,100","388,120,000",-3.50 %,20.37

12/25/2006,19.20,20.37,19.18,20.79,"20,243,200","408,003,000",5.54 %,20.03

12/26/2006,20.35,20.03,19.61,20.65,"12,850,500","258,984,000",-1.67 %,21.00

12/27/2006,20.03,21.00,19.90,21.70,"25,193,100","530,483,000",4.84 %,21.25

